ASV IDs,Species.names,CC1o,CC2o,CC3o,WS1o,WS2o,WS3o,CS1o,CS2o,CS3o,CSK1o,CSK2o,CSK3o,AB1o,AB2o,AB3o,FP1o,FP2o,FP3o,CC1,CC2,CC3,WS1,WS2,WS3,CS1,CS2,CS3,CSK1,CSK2,CSK3,AB1,AB2,AB3,PF1,PF2,PF3,Genus names
ASV61,Burkholderia aenigmatica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,Burkholderia
ASV10,Burkholderia contaminans,652,641,723,0,0,0,5,0,55,4606,6709,6379,9,12,0,62,41,41,149,131,113,0,0,0,94,107,0,0,0,0,0,0,0,0,10,0,Burkholderia
ASV29,Burkholderia vietnamiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2314,0,0,28,20,0,25,0,0,0,Burkholderia
ASV20,Cellulosimicrobium cellulans,41,62,72,0,0,0,0,0,0,0,0,0,16,11,0,0,0,15,176,158,136,0,0,0,1841,2106,1800,0,0,0,0,0,0,0,0,0,Cellulosimicrobium
ASV44,Chitinophaga rhizosphaerae,90,113,74,0,0,0,0,0,0,0,0,0,17,14,9,16,18,15,13,9,9,0,0,0,135,145,132,0,0,0,0,0,0,0,0,0,Chitinophaga
ASV63,Chryseobacterium cucumeris,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,69,129,128,0,0,0,0,0,0,0,0,0,Chryseobacterium
ASV32,Cnuibacter physcomitrellae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,612,571,516,0,0,0,0,0,0,0,0,0,Cnuibacter
ASV38,Cnuibacter physcomitrellae,18,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,51,0,0,0,0,488,421,417,0,0,0,0,0,0,0,0,0,Cnuibacter
ASV55,Comamonas aquatica,19,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,122,130,120,0,0,0,0,0,0,0,0,0,Comamonas
ASV118,Corynebacterium senegalense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,Corynebacterium
ASV72,Devosia psychrophila,11,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,66,67,63,0,0,0,0,0,0,0,0,0,Devosia
ASV70,Devosia riboflavina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,82,92,85,0,0,0,0,0,0,0,0,0,Devosia
ASV52,Ensifer adhaerens,21,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,140,128,0,0,0,0,0,0,0,0,0,Ensifer
ASV24,Enterobacter cloacae,269,221,275,472,532,473,77,75,74,130,179,195,174,193,119,60,0,0,57,56,55,0,0,0,74,57,47,0,0,0,0,0,0,56,26,26,Enterobacter
ASV46,Enterobacter cloacae,0,0,0,178,180,197,0,0,0,0,0,0,0,0,0,0,61,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Enterobacter
